,smiles
2sephchc,C=C(O[C@H]1C=C[C@H](C(=O)CCC(=O)O)[C@@H](C(=O)O)[C@@H]1O)C(=O)O
2shchc,O=C(O)CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)O
2tdec7eg3p,CCCCCC/C=C\CCCCCC(=O)OC(CO)COP(=O)(O)O
2tdecg3p,CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
2tpr3dpcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(O)=NCCC(O)=NCCS
34dhpac,O=CCc1ccc(O)c(O)c1
34dhpha,O=C(O)Cc1ccc([O-])c(O)c1
34dphacoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)Cc1ccc([O-])c([O-])c1
34hpp,O=C(O)C(=O)Cc1ccc(O)cc1
35cgmp,N=c1nc(O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1
36dahx,NCCC[C@H](N)CC(=O)[O-]
3amac,N/C=C\C(=O)[O-]
3amp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O
3c2hmp,CC(C)[C@H](C(=O)O)[C@@H](O)C(=O)O
3c3hmp,CC(C)C(O)(CC(=O)O)C(=O)O
3c4mop,CC(C)[C@H](C(=O)O)C(=O)C(=O)O
3cmp,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1
3dhguln,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO
3dhgulnp,O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
3dhq,O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
3dhsk,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
3gmp,N=c1nc(O)c2ncn([C@@H]3O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]3O)c2[nH]1
3haACP,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1
3hadpcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)C[C@@H](O)CCC(=O)O
3hbcoa,C[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hbz,O=C(O)c1cccc([O-])c1
3hbzcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])O)[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)c1cccc([O-])c1
3hcinnm,O=C(O)/C=C/c1cccc(O)c1
